year,totals,births,deaths,immigrants,emigrants
1749,1764724,59483,49516,,
1750,1780678,64511,47622,,
1751,1802132,69291,46902,,
1752,1816703,64973,49467,,
1753,1837869,66007,43905,,
1754,1857047,68759,48645,,
1755,1875029,70008,51090,,
1756,1889424,67987,52062,,
1757,1892990,61675,56579,,
1758,1893444,63262,61277,,
1759,1905866,63865,49912,,
1760,1925248,68384,47471,,
1761,1942257,67324,49893,,
1762,1949359,68268,60744,,
1763,1952238,68231,64180,,
1764,1966190,67988,53364,,
1765,1976824,65872,54566,,
1766,1992142,67061,49726,,
1767,2009596,70744,51272,,
1768,2020546,67719,54751,,
1769,2030491,66954,54991,,
1770,2042574,67172,53071,,
1771,2050680,65988,56827,,
1772,2032235,58972,76362,,
1773,1977205,51164,105139,,
1774,2000208,68520,44463,,
1775,2020847,71642,49949,,
1776,2041289,66869,45692,,
1777,2057147,67693,51096,,
1778,2073296,71901,55028,,
1779,2089624,76387,59325,,
1780,2118281,75122,45731,,
1781,2132912,71130,54313,,
1782,2140986,68488,58247,,
1783,2143570,64969,60213,,
1784,2145213,67605,63792,,
1785,2149773,67497,60770,,
1786,2163415,70935,55951,,
1787,2178403,68328,51998,,
1788,2192760,74019,58320,,
1789,2188962,70127,72583,,
1790,2187732,66710,66598,,
1791,2202319,71613,55946,,
1792,2229343,81063,52958,,
1793,2250919,77033,54376,,
1794,2272890,76429,53377,,
1795,2281137,72947,63619,,
1796,2300793,79446,56474,,
1797,2322814,80374,55036,,
1798,2344228,78593,53862,,
1799,2356993,75274,59192,,
1800,2347303,67555,73928,,
1801,2354952,70629,61317,,
1802,2372216,74963,56035,,
1803,2388619,74644,56577,,
1804,2403814,76443,59584,,
1805,2422039,76552,56663,,
1806,2428734,74581,66728,,
1807,2439599,75842,63818,,
1808,2427592,73963,84811,,
1809,2394101,64300,96532,,
1810,2396351,78916,75607,,
1811,2411382,84862,69246,,
1812,2418780,81079,73095,,
1813,2423949,72021,66266,,
1814,2438241,75837,60959,,
1815,2465066,85239,57829,,
1816,2497484,87644,56225,,
1817,2521442,83821,60863,,
